_id,全国地方公共団体コード,ID,名称,名称_カナ,名称_英字,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,標高,電話番号,内線番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,市区町村コード,地方公共団体名,災害種別_洪水,災害種別_崖崩れ、土石流及び地滑り,災害種別_高潮,災害種別_地震,災害種別_津波,災害種別_大規模な火事,災害種別_内水氾濫,災害種別_火山現象,指定避難所との重複,想定収容人数,対象となる町会・自治会,URL,画像,画像_ライセンス,備考
2521,172014,AA0000001280,三谷公民館（指定避難場所）,ミタニコウミンカン（シテイヒナンバショ）,"",172014,"",石川県金沢市宮野町ホ79,石川県,金沢市,"","","",36.59672393,136.7369013,"",076-257-6727,"","","","","",172014,石川県金沢市,"",1,"",1,1,"","","",1,138人,"","","","",""
2522,172014,AA0000001281,三谷小学校（指定避難場所）,ミタニショウガッコウ（シテイヒナンバショ）,"",172014,"",石川県金沢市宮野町ニ277,石川県,金沢市,"","","",36.595839,136.735955,26.5,076-257-6464,"","","","","",172014,石川県金沢市,"",1,"",1,1,"","","",1,1357人,"","","","",""
2523,172014,AA0000001282,薬師谷公民館（指定避難場所）,ヤクシダニコウミンカン（シテイヒナンバショ）,"",172014,"",石川県金沢市不動寺町イ34-1,石川県,金沢市,"","","",36.608065,136.70866,15.4,076-257-2488,"","","","","",172014,石川県金沢市,1,1,"",1,1,"","","",1,140人,"","","","",""
2524,172014,AA0000001283,不動寺小学校（指定避難場所）,フドウジショウガッコウ（シテイヒナンバショ）,"",172014,"",石川県金沢市不動寺町イ33,石川県,金沢市,"","","",36.608454,136.708621,16,076-258-0221,"","","","","",172014,石川県金沢市,1,1,"",1,1,"","","",1,1408人,"","","","",""
2525,172014,AA0000001284,柳瀬川つつみ公園（指定避難場所）,ヤナセガワツツミコウエン（シテイヒナンバショ）,"",172014,"",石川県金沢市大場町西21-1 ほか,石川県,金沢市,"","","",36.630021,136.674668,"","","","","","","",172014,石川県金沢市,"",1,"",1,1,"","","","","","","","","",""
2526,172014,AA0000001285,湖陽児童公園（指定避難場所）,コヨウジドウコウエン（シテイヒナンバショ）,"",172014,"",石川県金沢市湖陽1-133,石川県,金沢市,"","","",36.626012,136.688192,"","","","","","","",172014,石川県金沢市,"",1,"",1,1,"","","","","","","","","",""
2527,172014,AA0000001286,湖陽緑道公園（指定避難場所）,コヨウリョクドウコウエン（シテイヒナンバショ）,"",172014,"",石川県金沢市湖陽1-79,石川県,金沢市,"","","",36.627243,136.688814,"","","","","","","",172014,石川県金沢市,"",1,"",1,1,"","","","","","","","","",""
2528,172014,AA0000001287,北部公園（指定避難場所）,ホクブコウエン（シテイヒナンバショ）,"",172014,"",石川県金沢市忠縄町,石川県,金沢市,"","","",36.626614,136.691389,"",076-257-2073,"","","","","",172014,石川県金沢市,"",1,"",1,1,"","","","","","","","","",""
2529,172014,AA0000001288,金沢競馬場（指定避難場所）,カナザワケイバジョウ（シテイヒナンバショ）,"",172014,"",石川県金沢市八田町西1,石川県,金沢市,"","","",36.636515,136.674782,"",076-258-5761,"","","","","",172014,石川県金沢市,"",1,"",1,1,"","","","","","","","","",""
2530,172014,AA0000001289,金沢向陽高等学校（指定避難場所）,カナザワコウヨウコウトウガッコウ（シテイヒナンバショ）,"",172014,"",石川県金沢市大場町東590,石川県,金沢市,"","","",36.624178,136.686892,2.9,076-258-2355,"","","","","",172014,石川県金沢市,1,1,"",1,1,"","","",1,457人,"","","","",洪水時２階以上使用可
2531,172014,AA0000001290,湖南公民館（指定避難場所）,コナンコウミンカン（シテイヒナンバショ）,"",172014,"",石川県金沢市八田町東1459-1,石川県,金沢市,"","","",36.633183,136.686089,1.1,076-258-0023,"","","","","",172014,石川県金沢市,1,1,"",1,1,"","","",1,111人,"","","","",洪水時２階以上使用可
2532,172014,AA0000001291,旧上平小学校（指定避難場所）,キュウウワダイラショウガッコウ（シテイヒナンバショ）,"",172014,"",石川県金沢市上平町ハ25,石川県,金沢市,"","","",36.62776985,136.7738906,93.8,"","","","","","",172014,石川県金沢市,1,1,"","",1,"","","",1,161人,"","","","",""
2533,172014,AA0000001292,旧朝日小学校（指定避難場所）,キュウアサヒショウガッコウ（シテイヒナンバショ）,"",172014,"",石川県金沢市加賀朝日町ホ33,石川県,金沢市,"","","",36.622653,136.755593,161.1,076-257-5547,"","","","","",172014,石川県金沢市,1,1,"","",1,"","","",1,315人,"","","","",""
2534,172014,AA0000001293,花園公民館（指定避難場所）,ハナゾノコウミンカン（シテイヒナンバショ）,"",172014,"",石川県金沢市今町チ41,石川県,金沢市,"","","",36.633483,136.707671,3,076-258-0006,"","","","","",172014,石川県金沢市,1,1,"",1,1,"","","",1,112人,"","","","",洪水時２階以上使用可
